k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	
1.9000e+01	1.1195e-06	5.0005e-01	8.3174e+01	-9.6146e-03	1.6651e+02	9.9993e-01	9.1809e-02	1.0000e+00	1.6830e+01	
2.0000e+01	1.1187e-06	5.0005e-01	9.1591e+01	-1.0080e-02	1.8336e+02	9.9993e-01	8.7631e-02	1.0000e+00	1.7609e+01	
2.1000e+01	1.1178e-06	5.0005e-01	1.0040e+02	-1.0543e-02	2.0098e+02	9.9993e-01	8.3823e-02	1.0000e+00	1.8386e+01	
2.2000e+01	1.1170e-06	5.0006e-01	1.0959e+02	-1.1005e-02	2.1939e+02	9.9993e-01	8.0336e-02	1.0000e+00	1.9163e+01	
2.3000e+01	1.1163e-06	5.0006e-01	1.1918e+02	-1.1467e-02	2.3858e+02	9.9993e-01	7.7133e-02	1.0000e+00	1.9938e+01	
2.4000e+01	1.1156e-06	5.0006e-01	1.2915e+02	-1.1928e-02	2.5854e+02	9.9993e-01	7.4178e-02	1.0000e+00	2.0712e+01	
2.5000e+01	1.1149e-06	5.0006e-01	1.3950e+02	-1.2390e-02	2.7927e+02	9.9993e-01	7.1445e-02	1.0000e+00	2.1485e+01	
2.6000e+01	1.1142e-06	5.0007e-01	1.5025e+02	-1.2851e-02	3.0078e+02	9.9993e-01	6.8909e-02	1.0000e+00	2.2257e+01	
2.7000e+01	1.1134e-06	5.0007e-01	1.6138e+02	-1.3312e-02	3.2306e+02	9.9993e-01	6.6549e-02	1.0000e+00	2.3029e+01	
2.8000e+01	1.1126e-06	5.0007e-01	1.7290e+02	-1.3772e-02	3.4612e+02	9.9993e-01	6.4347e-02	1.0000e+00	2.3800e+01	
2.9000e+01	1.1117e-06	5.0007e-01	1.8480e+02	-1.4232e-02	3.6995e+02	9.9993e-01	6.2288e-02	1.0000e+00	2.4570e+01	
3.0000e+01	1.1109e-06	5.0008e-01	1.9709e+02	-1.4692e-02	3.9455e+02	9.9993e-01	6.0358e-02	1.0000e+00	2.5340e+01	
3.1000e+01	1.1101e-06	5.0008e-01	2.0976e+02	-1.5152e-02	4.1992e+02	9.9993e-01	5.8545e-02	1.0000e+00	2.6109e+01	
3.2000e+01	1.1094e-06	5.0008e-01	2.2282e+02	-1.5612e-02	4.4606e+02	9.9993e-01	5.6840e-02	1.0000e+00	2.6877e+01	
3.3000e+01	1.1088e-06	5.0008e-01	2.3626e+02	-1.6072e-02	4.7297e+02	9.9993e-01	5.5232e-02	1.0000e+00	2.7645e+01	
3.4000e+01	1.1084e-06	5.0009e-01	2.5009e+02	-1.6532e-02	5.0064e+02	9.9993e-01	5.3713e-02	1.0000e+00	2.8413e+01	
3.5000e+01	1.1080e-06	5.0009e-01	2.6430e+02	-1.6992e-02	5.2909e+02	9.9993e-01	5.2277e-02	1.0000e+00	2.9180e+01	
3.6000e+01	1.1078e-06	5.0009e-01	2.7889e+02	-1.7453e-02	5.5831e+02	9.9993e-01	5.0916e-02	1.0000e+00	2.9946e+01	
3.7000e+01	1.1076e-06	5.0009e-01	2.9387e+02	-1.7914e-02	5.8829e+02	9.9993e-01	4.9625e-02	1.0000e+00	3.0712e+01	
3.8000e+01	1.1075e-06	5.0010e-01	3.0923e+02	-1.8375e-02	6.1904e+02	9.9993e-01	4.8398e-02	1.0000e+00	3.1478e+01	
3.9000e+01	1.1075e-06	5.0010e-01	3.2497e+02	-1.8835e-02	6.5055e+02	9.9993e-01	4.7231e-02	1.0000e+00	3.2243e+01	
4.0000e+01	1.1075e-06	5.0010e-01	3.4110e+02	-1.9296e-02	6.8284e+02	9.9993e-01	4.6120e-02	1.0000e+00	3.3008e+01	
4.1000e+01	1.1074e-06	5.0010e-01	3.5760e+02	-1.9757e-02	7.1589e+02	9.9993e-01	4.5060e-02	1.0000e+00	3.3773e+01	
4.2000e+01	1.1074e-06	5.0011e-01	3.7450e+02	-2.0217e-02	7.4970e+02	9.9993e-01	4.4048e-02	1.0000e+00	3.4537e+01	
4.3000e+01	1.1073e-06	5.0011e-01	3.9177e+02	-2.0676e-02	7.8428e+02	9.9993e-01	4.3081e-02	1.0000e+00	3.5301e+01	
4.4000e+01	1.1073e-06	5.0011e-01	4.0942e+02	-2.1136e-02	8.1962e+02	9.9993e-01	4.2156e-02	1.0000e+00	3.6065e+01	
4.5000e+01	1.1072e-06	5.0011e-01	4.2746e+02	-2.1595e-02	8.5573e+02	9.9993e-01	4.1270e-02	1.0000e+00	3.6828e+01	
4.6000e+01	1.1071e-06	5.0011e-01	4.4588e+02	-2.2053e-02	8.9261e+02	9.9993e-01	4.0421e-02	1.0000e+00	3.7591e+01	
4.7000e+01	1.1070e-06	5.0012e-01	4.6468e+02	-2.2511e-02	9.3025e+02	9.9994e-01	3.9607e-02	1.0000e+00	3.8354e+01	
4.8000e+01	1.1070e-06	5.0012e-01	4.8386e+02	-2.2969e-02	9.6865e+02	9.9994e-01	3.8824e-02	1.0000e+00	3.9117e+01	
4.9000e+01	1.1069e-06	5.0012e-01	5.0343e+02	-2.3427e-02	1.0078e+03	9.9994e-01	3.8073e-02	1.0000e+00	3.9879e+01	
5.0000e+01	1.1069e-06	5.0012e-01	5.2337e+02	-2.3885e-02	1.0477e+03	9.9994e-01	3.7350e-02	1.0000e+00	4.0641e+01	
5.1000e+01	1.1069e-06	5.0012e-01	5.4370e+02	-2.4342e-02	1.0884e+03	9.9994e-01	3.6654e-02	1.0000e+00	4.1403e+01	
5.2000e+01	1.1070e-06	5.0013e-01	5.6441e+02	-2.4800e-02	1.1299e+03	9.9994e-01	3.5984e-02	1.0000e+00	4.2165e+01	
5.3000e+01	1.1071e-06	5.0013e-01	5.8550e+02	-2.5257e-02	1.1721e+03	9.9994e-01	3.5338e-02	1.0000e+00	4.2927e+01	
5.4000e+01	1.1072e-06	5.0013e-01	6.0697e+02	-2.5715e-02	1.2151e+03	9.9994e-01	3.4715e-02	1.0000e+00	4.3688e+01	
5.5000e+01	1.1073e-06	5.0013e-01	6.2882e+02	-2.6172e-02	1.2588e+03	9.9994e-01	3.4114e-02	1.0000e+00	4.4449e+01	
5.6000e+01	1.1075e-06	5.0014e-01	6.5105e+02	-2.6629e-02	1.3033e+03	9.9994e-01	3.3533e-02	1.0000e+00	4.5210e+01	
5.7000e+01	1.1077e-06	5.0014e-01	6.7366e+02	-2.7087e-02	1.3486e+03	9.9994e-01	3.2972e-02	1.0000e+00	4.5971e+01	
5.8000e+01	1.1079e-06	5.0014e-01	6.9666e+02	-2.7544e-02	1.3946e+03	9.9994e-01	3.2430e-02	1.0000e+00	4.6731e+01	
5.9000e+01	1.1081e-06	5.0014e-01	7.2003e+02	-2.8001e-02	1.4414e+03	9.9994e-01	3.1905e-02	1.0000e+00	4.7492e+01	
6.0000e+01	1.1083e-06	5.0014e-01	7.4378e+02	-2.8457e-02	1.4890e+03	9.9994e-01	3.1397e-02	1.0000e+00	4.8252e+01	
