k	Q11	Q12	Q22	ak	dk	alphak	tauk	deltak	gammak	gammapk	
2.6000e+01	-9.9121e-10	6.8265e+00	-1.9315e+02	5.0000e-01	3.5899e+02	9.2937e-01	7.0626e-02	1.0000e+00	-2.5195e-07	2.8318e+01	
2.7000e+01	-9.8860e-10	7.0812e+00	-2.0756e+02	5.0000e-01	3.8680e+02	9.3182e-01	6.8176e-02	1.0000e+00	-2.6083e-07	2.9336e+01	
2.8000e+01	-9.8590e-10	7.3366e+00	-2.2249e+02	5.0000e-01	4.1562e+02	9.3411e-01	6.5891e-02	1.0000e+00	-2.6976e-07	3.0353e+01	
2.9000e+01	-9.8312e-10	7.5884e+00	-2.3791e+02	5.0000e-01	4.4547e+02	9.3624e-01	6.3756e-02	1.0000e+00	-2.7872e-07	3.1369e+01	
3.0000e+01	-9.8026e-10	7.8420e+00	-2.5385e+02	5.0000e-01	4.7634e+02	9.3824e-01	6.1756e-02	1.0000e+00	-2.8771e-07	3.2385e+01	
3.1000e+01	-9.7730e-10	8.0948e+00	-2.7030e+02	5.0000e-01	5.0822e+02	9.4012e-01	5.9879e-02	1.0000e+00	-2.9670e-07	3.3401e+01	
3.2000e+01	-9.7426e-10	8.3512e+00	-2.8725e+02	5.0000e-01	5.4110e+02	9.4189e-01	5.8113e-02	1.0000e+00	-3.0568e-07	3.4416e+01	
3.3000e+01	-9.7112e-10	8.6061e+00	-3.0472e+02	5.0000e-01	5.7501e+02	9.4355e-01	5.6449e-02	1.0000e+00	-3.1464e-07	3.5430e+01	
3.4000e+01	-9.6789e-10	8.8599e+00	-3.2269e+02	5.0000e-01	6.0993e+02	9.4512e-01	5.4878e-02	1.0000e+00	-3.2358e-07	3.6444e+01	
3.5000e+01	-9.6456e-10	9.1122e+00	-3.4116e+02	5.0000e-01	6.4587e+02	9.4661e-01	5.3393e-02	1.0000e+00	-3.3247e-07	3.7458e+01	
3.6000e+01	-9.6113e-10	9.3634e+00	-3.6014e+02	5.0000e-01	6.8283e+02	9.4801e-01	5.1987e-02	1.0000e+00	-3.4132e-07	3.8471e+01	
3.7000e+01	-9.5761e-10	9.6180e+00	-3.7963e+02	5.0000e-01	7.2079e+02	9.4935e-01	5.0653e-02	1.0000e+00	-3.5014e-07	3.9484e+01	
3.8000e+01	-9.5398e-10	9.8750e+00	-3.9963e+02	5.0000e-01	7.5976e+02	9.5061e-01	4.9386e-02	1.0000e+00	-3.5892e-07	4.0497e+01	
3.9000e+01	-9.5024e-10	1.0125e+01	-4.2013e+02	5.0000e-01	7.9976e+02	9.5182e-01	4.8182e-02	1.0000e+00	-3.6769e-07	4.1509e+01	
4.0000e+01	-9.4639e-10	1.0375e+01	-4.4113e+02	5.0000e-01	8.4077e+02	9.5296e-01	4.7035e-02	1.0000e+00	-3.7645e-07	4.2521e+01	
4.1000e+01	-9.4240e-10	1.0626e+01	-4.6265e+02	5.0000e-01	8.8279e+02	9.5406e-01	4.5942e-02	1.0000e+00	-3.8522e-07	4.3533e+01	
4.2000e+01	-9.3828e-10	1.0888e+01	-4.8467e+02	5.0000e-01	9.2580e+02	9.5510e-01	4.4899e-02	1.0000e+00	-3.9400e-07	4.4545e+01	
