k	ak	apk	bk	ck	dk	alphak	tauk	deltak	gammak	gammakp	
6.0000e+01	-2.7287e-11	5.0000e-01	-9.6738e+02	1.5424e+01	1.8731e+03	9.6811e-01	3.1890e-02	1.0000e+00	-1.8653e-08	6.2716e+01	
6.1000e+01	-2.7032e-11	5.0000e-01	-9.9900e+02	1.5680e+01	1.9353e+03	9.6861e-01	3.1385e-02	1.0000e+00	-1.9022e-08	6.3724e+01	
6.2000e+01	-2.6765e-11	5.0000e-01	-1.0311e+03	1.5933e+01	1.9985e+03	9.6910e-01	3.0897e-02	1.0000e+00	-1.9401e-08	6.4732e+01	
6.3000e+01	-2.6485e-11	5.0000e-01	-1.0637e+03	1.6181e+01	2.0627e+03	9.6958e-01	3.0423e-02	1.0000e+00	-1.9789e-08	6.5739e+01	
6.4000e+01	-2.6190e-11	5.0000e-01	-1.0969e+03	1.6438e+01	2.1280e+03	9.7004e-01	2.9964e-02	1.0000e+00	-2.0179e-08	6.6747e+01	
6.5000e+01	-2.5881e-11	5.0000e-01	-1.1305e+03	1.6697e+01	2.1942e+03	9.7048e-01	2.9518e-02	1.0000e+00	-2.0562e-08	6.7754e+01	
6.6000e+01	-2.5558e-11	5.0000e-01	-1.1646e+03	1.6940e+01	2.2615e+03	9.7091e-01	2.9086e-02	1.0000e+00	-2.0919e-08	6.8762e+01	
6.7000e+01	-2.5222e-11	5.0000e-01	-1.1993e+03	1.7206e+01	2.3297e+03	9.7133e-01	2.8666e-02	1.0000e+00	-2.1238e-08	6.9769e+01	
6.8000e+01	-2.4876e-11	5.0000e-01	-1.2344e+03	1.7440e+01	2.3990e+03	9.7174e-01	2.8258e-02	1.0000e+00	-2.1520e-08	7.0776e+01	
6.9000e+01	-2.4517e-11	5.0000e-01	-1.2700e+03	1.7692e+01	2.4693e+03	9.7214e-01	2.7862e-02	1.0000e+00	-2.1784e-08	7.1783e+01	
7.0000e+01	-2.4144e-11	5.0000e-01	-1.3062e+03	1.7954e+01	2.5405e+03	9.7252e-01	2.7476e-02	1.0000e+00	-2.2049e-08	7.2790e+01	
7.1000e+01	-2.3751e-11	5.0000e-01	-1.3428e+03	1.8208e+01	2.6128e+03	9.7290e-01	2.7101e-02	1.0000e+00	-2.2324e-08	7.3797e+01	
7.2000e+01	-2.3338e-11	5.0000e-01	-1.3799e+03	1.8431e+01	2.6861e+03	9.7326e-01	2.6737e-02	1.0000e+00	-2.2613e-08	7.4804e+01	
7.3000e+01	-2.2900e-11	5.0000e-01	-1.4176e+03	1.8705e+01	2.7604e+03	9.7362e-01	2.6382e-02	1.0000e+00	-2.2914e-08	7.5811e+01	
7.4000e+01	-2.2438e-11	5.0000e-01	-1.4558e+03	1.8950e+01	2.8357e+03	9.7396e-01	2.6036e-02	1.0000e+00	-2.3223e-08	7.6817e+01	
7.5000e+01	-2.1948e-11	5.0000e-01	-1.4944e+03	1.9197e+01	2.9120e+03	9.7430e-01	2.5699e-02	1.0000e+00	-2.3537e-08	7.7824e+01	
7.6000e+01	-2.1430e-11	5.0000e-01	-1.5336e+03	1.9452e+01	2.9894e+03	9.7463e-01	2.5371e-02	1.0000e+00	-2.3851e-08	7.8830e+01	
7.7000e+01	-2.0882e-11	5.0000e-01	-1.5733e+03	1.9704e+01	3.0677e+03	9.7495e-01	2.5051e-02	1.0000e+00	-2.4162e-08	7.9836e+01	
7.8000e+01	-2.0301e-11	5.0000e-01	-1.6134e+03	1.9961e+01	3.1470e+03	9.7526e-01	2.4739e-02	1.0000e+00	-2.4465e-08	8.0843e+01	
7.9000e+01	-1.9686e-11	5.0000e-01	-1.6541e+03	2.0204e+01	3.2274e+03	9.7556e-01	2.4435e-02	1.0000e+00	-2.4758e-08	8.1849e+01	
8.0000e+01	-1.9034e-11	5.0000e-01	-1.6953e+03	2.0458e+01	3.3087e+03	9.7586e-01	2.4139e-02	1.0000e+00	-2.5039e-08	8.2855e+01	
8.1000e+01	-1.8343e-11	5.0000e-01	-1.7369e+03	2.0703e+01	3.3911e+03	9.7615e-01	2.3849e-02	1.0000e+00	-2.5306e-08	8.3861e+01	
8.2000e+01	-1.7609e-11	5.0000e-01	-1.7791e+03	2.0951e+01	3.4744e+03	9.7643e-01	2.3566e-02	1.0000e+00	-2.5559e-08	8.4867e+01	
8.3000e+01	-1.6829e-11	5.0000e-01	-1.8218e+03	2.1213e+01	3.5588e+03	9.7671e-01	2.3290e-02	1.0000e+00	-2.5794e-08	8.5873e+01	
8.4000e+01	-1.5999e-11	5.0000e-01	-1.8650e+03	2.1474e+01	3.6441e+03	9.7698e-01	2.3021e-02	1.0000e+00	-2.6014e-08	8.6879e+01	
8.5000e+01	-1.5115e-11	5.0000e-01	-1.9087e+03	2.1736e+01	3.7305e+03	9.7724e-01	2.2757e-02	1.0000e+00	-2.6217e-08	8.7884e+01	
8.6000e+01	-1.4171e-11	5.0000e-01	-1.9529e+03	2.1965e+01	3.8179e+03	9.7750e-01	2.2500e-02	1.0000e+00	-2.6406e-08	8.8890e+01	
8.7000e+01	-1.3162e-11	5.0000e-01	-1.9976e+03	2.2220e+01	3.9063e+03	9.7775e-01	2.2248e-02	1.0000e+00	-2.6582e-08	8.9896e+01	
8.8000e+01	-1.2080e-11	5.0000e-01	-2.0428e+03	2.2475e+01	3.9957e+03	9.7800e-01	2.2002e-02	1.0000e+00	-2.6745e-08	9.0901e+01	
8.9000e+01	-1.0920e-11	5.0000e-01	-2.0885e+03	2.2759e+01	4.0860e+03	9.7824e-01	2.1761e-02	1.0000e+00	-2.6893e-08	9.1907e+01	
9.0000e+01	-9.6754e-12	5.0000e-01	-2.1347e+03	2.2946e+01	4.1775e+03	9.7847e-01	2.1526e-02	1.0000e+00	-2.7025e-08	9.2912e+01	
9.1000e+01	-8.3419e-12	5.0000e-01	-2.1814e+03	2.3226e+01	4.2699e+03	9.7870e-01	2.1295e-02	1.0000e+00	-2.7135e-08	9.3918e+01	
9.2000e+01	-6.9183e-12	5.0000e-01	-2.2286e+03	2.3491e+01	4.3633e+03	9.7893e-01	2.1070e-02	1.0000e+00	-2.7217e-08	9.4923e+01	
9.3000e+01	-5.4052e-12	5.0000e-01	-2.2763e+03	2.3735e+01	4.4577e+03	9.7915e-01	2.0849e-02	1.0000e+00	-2.7267e-08	9.5928e+01	
9.4000e+01	-3.7934e-12	5.0000e-01	-2.3245e+03	2.3987e+01	4.5531e+03	9.7937e-01	2.0633e-02	1.0000e+00	-2.7256e-08	9.6933e+01	
9.5000e+01	-1.9593e-12	5.0000e-01	-2.3732e+03	2.4174e+01	4.6497e+03	9.7958e-01	2.0421e-02	1.0000e+00	-2.7146e-08	9.7939e+01	
9.6000e+01	1.7360e-13	5.0000e-01	-2.4224e+03	2.4438e+01	4.7471e+03	9.7979e-01	2.0214e-02	1.0000e+00	-2.7178e-08	9.8944e+01	
9.7000e+01	2.2659e-12	5.0000e-01	-2.4721e+03	2.4676e+01	4.8456e+03	9.7999e-01	2.0010e-02	1.0000e+00	-2.7359e-08	9.9949e+01	
9.8000e+01	4.1976e-12	5.0000e-01	-2.5225e+03	2.5032e+01	4.9448e+03	9.8019e-01	1.9811e-02	1.0000e+00	-2.7111e-08	1.0095e+02	
9.9000e+01	6.6089e-12	5.0000e-01	-2.5730e+03	2.5087e+01	5.0457e+03	9.8038e-01	1.9616e-02	1.0000e+00	-2.5709e-08	1.0196e+02	
1.0000e+02	8.8232e-12	5.0000e-01	-2.6243e+03	2.5437e+01	5.1469e+03	9.8623e-01	1.3775e-02	1.8930e+01	2.4136e+01	1.3769e+03	
1.0100e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.2704e+03	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
