k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
8.3000e+01	2.8825e-08	8.4562e-01	-1.9333e-01	-2.5285e-03	4.5902e-01	8.6109e+01	3.8851e-02	1.4421e-02	1.0000e+00	1.1295e+00	
8.4000e+01	3.0165e-08	8.9533e-01	-2.1242e-01	-2.5910e-03	4.5504e-01	8.7369e+01	4.0443e-02	1.4440e-02	1.0000e+00	1.1401e+00	
8.5000e+01	3.1606e-08	9.4994e-01	-2.3361e-01	-2.6554e-03	4.5056e-01	8.8649e+01	4.2181e-02	1.4479e-02	1.0000e+00	1.1518e+00	
8.6000e+01	3.3161e-08	1.0102e+00	-2.5713e-01	-2.7217e-03	4.4552e-01	8.9951e+01	4.4085e-02	1.4539e-02	1.0000e+00	1.1646e+00	
8.7000e+01	3.4848e-08	1.0771e+00	-2.8322e-01	-2.7905e-03	4.3980e-01	9.1279e+01	4.6183e-02	1.4623e-02	1.0000e+00	1.1789e+00	
8.8000e+01	3.6691e-08	1.1517e+00	-3.1217e-01	-2.8624e-03	4.3329e-01	9.2633e+01	4.8505e-02	1.4734e-02	1.0000e+00	1.1946e+00	
8.9000e+01	3.8719e-08	1.2353e+00	-3.4421e-01	-2.9380e-03	4.2584e-01	9.4018e+01	5.1092e-02	1.4876e-02	1.0000e+00	1.2122e+00	
9.0000e+01	4.0955e-08	1.3297e+00	-3.7958e-01	-3.0179e-03	4.1725e-01	9.5438e+01	5.3992e-02	1.5054e-02	1.0000e+00	1.2316e+00	
9.1000e+01	4.3410e-08	1.4369e+00	-4.1841e-01	-3.1022e-03	4.0728e-01	9.6897e+01	5.7266e-02	1.5274e-02	1.0000e+00	1.2532e+00	
9.2000e+01	4.6085e-08	1.5592e+00	-4.6069e-01	-3.1908e-03	3.9561e-01	9.8400e+01	6.0992e-02	1.5542e-02	1.0000e+00	1.2771e+00	
9.3000e+01	4.8983e-08	1.6998e+00	-5.0609e-01	-3.2835e-03	3.8182e-01	9.9953e+01	6.5265e-02	1.5868e-02	1.0000e+00	1.3036e+00	
9.4000e+01	5.2169e-08	1.8622e+00	-5.5373e-01	-3.3811e-03	3.6534e-01	1.0157e+02	7.0211e-02	1.6264e-02	1.0000e+00	1.3326e+00	
9.5000e+01	5.5613e-08	2.0510e+00	-6.0180e-01	-3.4832e-03	3.4538e-01	1.0324e+02	7.5989e-02	1.6748e-02	1.0000e+00	1.3643e+00	
9.6000e+01	5.9174e-08	2.2716e+00	-6.4683e-01	-3.5859e-03	3.2081e-01	1.0500e+02	8.2802e-02	1.7342e-02	1.0000e+00	1.3981e+00	
9.7000e+01	6.2994e-08	2.5307e+00	-6.8254e-01	-3.6905e-03	2.8997e-01	1.0686e+02	9.0905e-02	1.8081e-02	1.0000e+00	1.4331e+00	
9.8000e+01	6.7496e-08	2.8350e+00	-6.9788e-01	-3.8080e-03	2.5036e-01	1.0882e+02	1.0062e-01	1.9018e-02	1.0000e+00	1.4672e+00	
9.9000e+01	7.2209e-08	3.1901e+00	-6.7375e-01	-3.9341e-03	1.9798e-01	1.1093e+02	1.1231e-01	2.0239e-02	1.0000e+00	1.4967e+00	
1.0000e+02	7.6974e-08	3.5997e+00	-5.7818e-01	-4.0933e-03	1.2620e-01	1.1323e+02	1.2636e-01	2.6032e-02	3.1949e+01	4.9033e+01	
1.0100e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.1625e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
